GID,ESPN ID,Pos,Name,Team,Salary,Salary Change,Points,GP,Pts/Game,Pts/G/$,Pts/G(alt),Last pts,Days ago,Schedule starting Wed 1/1
4575,2596108,12,"Carter-Williams, Michael",Orl,3200,-200,283.3,19,14.9,4.7,14.9,0,2,1.34.6.8.0..3.56.8.0.2.4.67.
4595,3032979,12,"Schroder, Dennis",OKC,6500,0,970.5,32,30.3,4.7,30.3,34.2,1,.2.4.67.9.1.3.5.78.0.2.45.7.
4788,0,23,"Richardson, Josh",Phi,5900,0,777.3,28,27.8,4.7,27.8,36,1,..3..6..9.1.3.5.78.0.2..5..8
4817,0,5,"Cauley-Stein, Willie",GSW,4900,0,710.8,31,22.9,4.7,22.9,0,1,.2.4.6.8.0.2.4.6.8.0.2.4...8
4831,0,1,"McConnell, T.J.",Ind,4100,0,619,32,19.3,4.7,19.3,31.5,1,.2.4.6.8.0..3.5.7.90.2.4.6..
4841,0,45,"Portis, Bobby",NYK,4400,-100,686,33,20.8,4.7,20.8,21.8,4,1.3.5.78.0.2.4.6.8.0.2.4.6.8
4952,0,45,"Chriss, Marquese",GSW,4100,0,658,34,19.4,4.7,19.4,30.8,1,.2.4.6.8.0.2.4.6.8.0.2.4...8
4963,0,1,"Murray, Dejounte",SAS,5900,0,797,29,27.5,4.7,27.5,34.5,1,.2.4.6.8.0.2..5.7.90.2.4.67.
5001,0,23,"Bembry, DeAndre",Atl,3700,0,570.8,33,17.3,4.7,17.3,11.2,2,..34.6.8.0.2.4..78.0.2.4.6.8
5659,0,12,"Wanamaker, Brad",Bos,3200,0,469.3,31,15.1,4.7,15.1,12.5,1,..34.6.89.1.3.56.8.0.2.4.6.8
5662,0,12,"Simons, Anfernee",Por,3400,-300,546.3,34,16.1,4.7,16.1,15,2,1.3.5.7.9.1.3.5.78.0..3..6..
5674,0,23,"Okogie, Josh",Min,3800,300,530.3,30,17.7,4.7,17.7,7,2,12..5.7.9.1.3.5.78.0.2.45.7.
5686,0,34,"Hutchison, Chandler",Chi,3000,0,127.8,9,14.2,4.7,14.2,0,2,.2.4.6.8.01.3.5.78.0.2.45.7.
5708,0,1,"Young, Trae",Atl,10400,0,1510.5,31,48.7,4.7,48.7,0,2,..34.6.8.0.2.4..78.0.2.4.6.8
5721,0,12,"Sexton, Collin",Cle,5800,0,892.5,33,27,4.7,27,26.2,1,.2.45.7.9.1.34..78.0..3.5.78
5737,0,23,"Diallo, Hamidou",OKC,3700,0,224.3,13,17.2,4.7,17.2,7.2,1,.2.4.67.9.1.3.5.78.0.2.45.7.
5738,0,23,"Brown, Bruce",Det,4700,0,730.3,33,22.1,4.7,22.1,22,2,.2.45.7.9.1.3.5..8.0.2.45.7.
5854,0,45,"Washington, P.J.",Cha,5500,0,794.8,31,25.6,4.7,25.6,32.8,1,.2.4.6.8.0.23.5....0...4...8
3978,3194,34,"Chandler, Wilson",Bkn,3300,0,106.8,7,15.2,4.6,15.2,20.2,2,.2.4.67..0.2.45..8.0..3.56..
4269,4240,12,"Bradley, Avery",LAL,3100,-200,269,19,14.2,4.6,14.2,8,3,1.3.5.7..01.3.5..8.0.23.5..8
4490,6609,23,"Middleton, Khris",Mil,7500,-600,955.8,28,34.1,4.6,34.1,41.5,2,1..4.6.8.01..4.6.8.0...4...8
4706,3064440,12,"LaVine, Zach",Chi,8300,0,1300.5,34,38.2,4.6,38.2,32.5,2,.2.4.6.8.01.3.5.78.0.2.45.7.
4875,0,4,"Bjelica, Nemanja",Sac,5700,0,894,34,26.3,4.6,26.3,18.8,1,.2.4.67..0..3.5..8.0.2.4..7.
4992,0,13,"LeVert, Caris",Bkn,6400,0,266.3,9,29.6,4.6,29.6,0,2,.2.4.67..0.2.45..8.0..3.56..
5116,0,34,"Osman, Cedi",Cle,4400,0,670.3,33,20.3,4.6,20.3,29,1,.2.45.7.9.1.34..78.0..3.5.78
5131,0,12,"Fultz, Markelle",Orl,5100,300,743.5,32,23.2,4.6,23.2,20.8,2,1.34.6.8.0..3.56.8.0.2.4.67.
5134,0,45,"Collins, John",Atl,8700,0,356.8,9,39.6,4.6,39.6,29.8,2,..34.6.8.0.2.4..78.0.2.4.6.8
5155,0,45,"Collins, Zach",Por,3900,-200,53.5,3,17.8,4.6,17.8,0,2,1.3.5.7.9.1.3.5.78.0..3..6..
5227,0,45,"Markkanen, Lauri",Chi,6300,0,988.8,34,29.1,4.6,29.1,29.5,2,.2.4.6.8.01.3.5.78.0.2.45.7.
5731,0,45,"Jackson, Jaren",Mem,6600,0,995,33,30.2,4.6,30.2,35,3,.2.45.7..0.2.4..7..0.2.4.6.8
5816,0,23,"Poole, Jordan",GSW,3000,0,402,29,13.9,4.6,13.9,0,1,.2.4.6.8.0.2.4.6.8.0.2.4...8
3817,2797,34,"Williams, Marvin",Cha,3300,0,465.3,31,15,4.5,15,3.8,1,.2.4.6.8.0.23.5....0...4...8
3857,3005,34,"Gay, Rudy",SAS,5100,0,740.3,32,23.1,4.5,23.1,10,1,.2.4.6.8.0.2..5.7.90.2.4.67.
4199,4023,23,"Temple, Garrett",Bkn,4900,0,699.8,32,21.9,4.5,21.9,25,2,.2.4.67..0.2.45..8.0..3.56..
4570,2490620,34,"Covington, Robert",Min,5700,-200,796.8,31,25.7,4.5,25.7,29.2,2,12..5.7.9.1.3.5.78.0.2.45.7.
4678,2999547,2,"Harris, Gary",Den,4800,0,672.8,31,21.7,4.5,21.7,0,1,.2.4.6.8..12..56..90.2.4.6.8
4680,3064514,45,"Randle, Julius",NYK,8000,800,1188,33,36,4.5,36,61,4,1.3.5.78.0.2.4.6.8.0.2.4.6.8
4791,0,12,"Wright, Delon",Dal,4600,0,641.5,31,20.7,4.5,20.7,14.8,1,.2.4.6.8.01..45.7...1.3.5.78
4934,0,12,"VanVleet, Fred",Tor,8400,0,1101.3,29,38,4.5,38,35,1,.2.4..78...2..5.78.0.2.4.6.8
5138,0,23,"Bogdanovic, Bogdan",Sac,6000,0,777.8,29,26.8,4.5,26.8,17.2,1,.2.4.67..0..3.5..8.0.2.4..7.
5218,0,12,"Caruso, Alex",LAL,3000,-200,415.8,31,13.4,4.5,13.4,11.8,3,1.3.5.7..01.3.5..8.0.23.5..8
5704,0,23,"Shamet, Landry",LAC,3500,0,281.5,18,15.6,4.5,15.6,14,1,.2.45....0.2.4.6.8..12.4.6.8
3990,3206,5,"Gasol, Marc",Tor,5500,0,646,27,23.9,4.4,23.9,0,1,.2.4..78...2..5.78.0.2.4.6.8
4369,6443,12,"Jackson, Reggie",Det,3200,0,28.3,2,14.1,4.4,14.1,0,2,.2.45.7.9.1.3.5..8.0.2.45.7.
4442,6447,5,"Kanter, Enes",Bos,5100,0,542.5,24,22.6,4.4,22.6,47,1,..34.6.89.1.3.56.8.0.2.4.6.8
4507,6637,23,"Bazemore, Kent",Por,4200,300,623.8,34,18.3,4.4,18.3,14,2,1.3.5.7.9.1.3.5.78.0..3..6..
4607,2488653,45,"Plumlee, Mason",Den,4400,0,632.5,33,19.2,4.4,19.2,4.5,1,.2.4.6.8..12..56..90.2.4.6.8
4810,0,34,"Hollis-Jefferson, Rondae",Tor,4300,0,495.5,26,19.1,4.4,19.1,22.8,1,.2.4..78...2..5.78.0.2.4.6.8
5133,0,12,"Monk, Malik",Cha,3900,0,599,35,17.1,4.4,17.1,10,1,.2.4.6.8.0.23.5....0...4...8
5184,0,23,"Brown, Sterling",Mil,3100,100,344.5,25,13.8,4.4,13.8,0,2,1..4.6.8.01..4.6.8.0...4...8
5714,0,45,"Bagley, Marvin",Sac,5800,0,231.5,9,25.7,4.4,25.7,0,1,.2.4.67..0..3.5..8.0.2.4..7.
3783,2778,23,"Miles, C.J.",Was,3000,0,128.5,10,12.8,4.3,12.8,0,2,1.34.6.8.0.2..5.7..0.23..6.8
4564,2326307,12,"Curry, Seth",Dal,3900,0,515.8,31,16.6,4.3,16.6,21,1,.2.4.6.8.01..45.7...1.3.5.78
4571,2528353,23,"Snell, Tony",Det,3300,0,424.5,30,14.2,4.3,14.2,8.5,2,.2.45.7.9.1.3.5..8.0.2.45.7.
4756,2530276,12,"Johnson, Tyler",Pho,3000,0,280.8,22,12.8,4.3,12.8,0,2,1.3.5.7..0.2.4.6.8.0.2.4.6.8
4835,0,45,"Holmes, Richaun",Sac,7100,0,1027.3,34,30.2,4.3,30.2,43,1,.2.4.67..0..3.5..8.0.2.4..7.
5860,0,1,"Garland, Darius",Cle,4500,0,632,33,19.2,4.3,19.2,21.8,1,.2.45.7.9.1.34..78.0..3.5.78
4164,4032,23,"Matthews, Wes",Mil,3600,200,493.3,33,14.9,4.2,14.9,0,2,1..4.6.8.01..4.6.8.0...4...8
4167,3986,45,"Gibson, Taj",NYK,3100,-300,394,30,13.1,4.2,13.1,10.8,4,1.3.5.78.0.2.4.6.8.0.2.4.6.8
4458,6427,5,"Biyombo, Bismack",Cha,4400,0,624.3,34,18.4,4.2,18.4,14.8,1,.2.4.6.8.0.23.5....0...4...8
4628,2528210,23,"Hardaway Jr., Tim",Dal,5200,0,693.5,32,21.7,4.2,21.7,0,1,.2.4.6.8.01..45.7...1.3.5.78
4653,2594922,34,"Porter, Otto",Chi,5000,0,189.3,9,21,4.2,21,0,2,.2.4.6.8.01.3.5.78.0.2.45.7.
4806,0,45,"Lyles, Trey",SAS,3500,0,476,32,14.9,4.2,14.9,10.2,1,.2.4.6.8.0.2..5.7.90.2.4.67.
4811,0,23,"Connaughton, Pat",Mil,3600,100,495,33,15,4.2,15,26.2,2,1..4.6.8.01..4.6.8.0...4...8
4932,0,34,"Finney-Smith, Dorian",Dal,4700,0,655.3,33,19.9,4.2,19.9,11.5,1,.2.4.6.8.01..45.7...1.3.5.78
4980,0,13,"Satoransky, Tomas",Chi,6100,0,869,34,25.6,4.2,25.6,23,2,.2.4.6.8.01.3.5.78.0.2.45.7.
5182,0,3,"O'Neale, Royce",Uta,4500,0,626.3,33,19,4.2,19,7.8,2,.2.4.6.8.0.2.4.6.8.0.2..5.7.
5216,0,34,"Kuzma, Kyle",LAL,4600,-200,458.3,24,19.1,4.2,19.1,7.8,3,1.3.5.7..01.3.5..8.0.23.5..8
3777,2774,5,"Mahinmi, Ian",Was,5300,900,263.3,12,21.9,4.1,21.9,41.8,2,1.34.6.8.0.2..5.7..0.23..6.8
4280,4257,45,"Favors, Derrick",Nor,6500,0,484.5,18,26.9,4.1,26.9,38,3,..34.6.8.01.3..6.8.0.2.4.6.8
4616,2581018,23,"Caldwell-Pope, Kentavious",LAL,4200,-200,566.5,33,17.2,4.1,17.2,30.2,3,1.3.5.7..01.3.5..8.0.23.5..8
4773,3892818,1,"Mudiay, Emmanuel",Uta,3500,0,435.3,30,14.5,4.1,14.5,11,2,.2.4.6.8.0.2.4.6.8.0.2..5.7.
4792,0,23,"Powell, Norman",Tor,6100,0,674.3,27,25,4.1,25,0,1,.2.4..78...2..5.78.0.2.4.6.8
